name,capacity,zone_name,features
NH-CL-101,40,NH Computer Labs,Computer Lab|Projector|Air Conditioning
NH-CL-102,40,NH Computer Labs,Computer Lab|Projector|Air Conditioning
NH-CL-103,35,NH Computer Labs,Computer Lab|Projector|Air Conditioning
NH-CL-104,35,NH Computer Labs,Computer Lab|Projector|Air Conditioning
BBS-LT-1,300,BBS Lecture Theatres,Projector|Microphone System|Auditorium Seating|Air Conditioning|Video Conferencing
BBS-LT-2,280,BBS Lecture Theatres,Projector|Microphone System|Auditorium Seating|Air Conditioning|Video Conferencing
BBS-LT-3,250,BBS Lecture Theatres,Projector|Microphone System|Auditorium Seating|Air Conditioning|Video Conferencing
BBS-LT-4,200,BBS Lecture Theatres,Projector|Microphone System|Auditorium Seating|Air Conditioning|Video Conferencing
BBS-101,70,BBS Normal Classes,Projector|Whiteboard|Air Conditioning
BBS-102,70,BBS Normal Classes,Projector|Whiteboard|Air Conditioning
BBS-103,65,BBS Normal Classes,Projector|Whiteboard|Air Conditioning
BBS-104,65,BBS Normal Classes,Projector|Whiteboard|Air Conditioning
BBS-201,60,BBS Normal Classes,Projector|Whiteboard|Air Conditioning
BBS-202,60,BBS Normal Classes,Projector|Whiteboard|Air Conditioning
BBS-203,55,BBS Normal Classes,Projector|Whiteboard|Air Conditioning
BBS-204,55,BBS Normal Classes,Projector|Whiteboard|Air Conditioning
AMPH-Main,500,Amphitheatre,Microphone System|Auditorium Seating|Video Conferencing|Air Conditioning
AMPH-Mini,150,Amphitheatre,Microphone System|Auditorium Seating|Air Conditioning
AH-Main,400,Activity Halls,Microphone System|Air Conditioning
AH-East,200,Activity Halls,Microphone System|Air Conditioning
AH-West,200,Activity Halls,Microphone System|Air Conditioning
BDL-Lab1,35,BucoDEL Labs,Computer Lab|Projector|Air Conditioning|Network Lab|Server Room|3D Printers
BDL-Lab2,35,BucoDEL Labs,Computer Lab|Projector|Air Conditioning|Network Lab|Server Room|3D Printers
BDL-Lab3,30,BucoDEL Labs,Computer Lab|Projector|Air Conditioning|Server Room|Network Lab|3D Printers
BDL-Lab4,30,BucoDEL Labs,Computer Lab|Projector|Air Conditioning|Network Lab|Server Room|3D Printers
BDL-Lab5,40,BucoDEL Labs,Computer Lab|Projector|Air Conditioning|3D Printers|Network Lab|Server Room
BDL-101,45,BucoDEL Rooms,Projector|Whiteboard|Air Conditioning
BDL-102,45,BucoDEL Rooms,Projector|Whiteboard|Air Conditioning
BDL-103,40,BucoDEL Rooms,Projector|Whiteboard|Air Conditioning
BDL-104,40,BucoDEL Rooms,Projector|Whiteboard|Air Conditioning
ENG-101,65,Engineering Complex,Projector|Whiteboard|Air Conditioning|CAD Workstations|Workshop Equipment|3D Printers|Smart Board
ENG-102,65,Engineering Complex,Projector|Whiteboard|Air Conditioning|CAD Workstations|Workshop Equipment|3D Printers|Smart Board
ENG-103,60,Engineering Complex,Projector|Whiteboard|Air Conditioning|CAD Workstations|Workshop Equipment|3D Printers|Smart Board
ENG-104,60,Engineering Complex,Projector|Whiteboard|Air Conditioning|CAD Workstations|Workshop Equipment|3D Printers|Smart Board
ENG-201,55,Engineering Complex,Projector|Whiteboard|Air Conditioning|CAD Workstations|Workshop Equipment|3D Printers|Smart Board
ENG-202,55,Engineering Complex,Projector|Whiteboard|Air Conditioning|CAD Workstations|Workshop Equipment|3D Printers|Smart Board
ENG-WS-1,40,Engineering Complex,Workshop Equipment|Projector|Air Conditioning|CAD Workstations|3D Printers|Smart Board
ENG-WS-2,40,Engineering Complex,Workshop Equipment|Projector|Air Conditioning|CAD Workstations|3D Printers|Smart Board
ENG-CAD-1,35,Engineering Complex,Computer Lab|CAD Workstations|Projector|Air Conditioning|Workshop Equipment|3D Printers|Smart Board
ENG-CAD-2,35,Engineering Complex,Computer Lab|CAD Workstations|Projector|Air Conditioning|Workshop Equipment|3D Printers|Smart Board
ENG-LT,200,Engineering Complex,Projector|Microphone System|Auditorium Seating|Air Conditioning|CAD Workstations|Workshop Equipment|3D Printers|Smart Board
SCI-101,60,Science Tower,Projector|Whiteboard|Air Conditioning|Wet Lab|Biology Lab|Chemistry Lab|Physics Lab|Medical Equipment|3D Printers
SCI-102,60,Science Tower,Projector|Whiteboard|Air Conditioning|Wet Lab|Biology Lab|Chemistry Lab|Physics Lab|Medical Equipment|3D Printers
SCI-103,55,Science Tower,Projector|Whiteboard|Air Conditioning|Wet Lab|Biology Lab|Chemistry Lab|Physics Lab|Medical Equipment|3D Printers
SCI-104,55,Science Tower,Projector|Whiteboard|Air Conditioning|Wet Lab|Biology Lab|Chemistry Lab|Physics Lab|Medical Equipment|3D Printers
SCI-CHEM-1,35,Science Tower,Chemistry Lab|Wet Lab|Air Conditioning|Biology Lab|Physics Lab|Medical Equipment|3D Printers|Projector
SCI-CHEM-2,35,Science Tower,Chemistry Lab|Wet Lab|Air Conditioning|Biology Lab|Physics Lab|Medical Equipment|3D Printers|Projector
SCI-CHEM-3,30,Science Tower,Chemistry Lab|Wet Lab|Air Conditioning|Biology Lab|Physics Lab|Medical Equipment|3D Printers|Projector
SCI-PHY-1,35,Science Tower,Physics Lab|Air Conditioning|Wet Lab|Biology Lab|Chemistry Lab|Medical Equipment|3D Printers|Projector
SCI-PHY-2,35,Science Tower,Physics Lab|Air Conditioning|Wet Lab|Biology Lab|Chemistry Lab|Medical Equipment|3D Printers|Projector
SCI-BIO-1,35,Science Tower,Biology Lab|Wet Lab|Air Conditioning|Chemistry Lab|Physics Lab|Medical Equipment|3D Printers|Projector
SCI-BIO-2,35,Science Tower,Biology Lab|Wet Lab|Air Conditioning|Chemistry Lab|Physics Lab|Medical Equipment|3D Printers|Projector
SCI-LT,180,Science Tower,Projector|Microphone System|Auditorium Seating|Air Conditioning|Wet Lab|Biology Lab|Chemistry Lab|Physics Lab|Medical Equipment|3D Printers
MED-101,70,Medical Sciences Building,Projector|Whiteboard|Air Conditioning|Medical Equipment|Wet Lab|Biology Lab
MED-102,70,Medical Sciences Building,Projector|Whiteboard|Air Conditioning|Medical Equipment|Wet Lab|Biology Lab
MED-103,60,Medical Sciences Building,Projector|Whiteboard|Air Conditioning|Medical Equipment|Wet Lab|Biology Lab
MED-104,60,Medical Sciences Building,Projector|Whiteboard|Air Conditioning|Medical Equipment|Wet Lab|Biology Lab
MED-LAB-1,40,Medical Sciences Building,Medical Equipment|Wet Lab|Air Conditioning|Biology Lab|Projector
MED-LAB-2,40,Medical Sciences Building,Medical Equipment|Wet Lab|Air Conditioning|Biology Lab|Projector
MED-LAB-3,35,Medical Sciences Building,Medical Equipment|Wet Lab|Air Conditioning|Biology Lab|Projector
MED-LAB-4,35,Medical Sciences Building,Medical Equipment|Air Conditioning|Wet Lab|Biology Lab|Projector
MED-ANAT,60,Medical Sciences Building,Medical Equipment|Projector|Air Conditioning|Wet Lab|Biology Lab
MED-LT,250,Medical Sciences Building,Projector|Microphone System|Auditorium Seating|Air Conditioning|Medical Equipment|Wet Lab|Biology Lab
LAW-101,80,Law Building,Projector|Whiteboard|Air Conditioning|Legal Research Station|Smart Board|Video Conferencing|Microphone System
LAW-102,80,Law Building,Projector|Whiteboard|Air Conditioning|Legal Research Station|Smart Board|Video Conferencing|Microphone System
LAW-103,70,Law Building,Projector|Whiteboard|Air Conditioning|Legal Research Station|Smart Board|Video Conferencing|Microphone System
LAW-104,70,Law Building,Projector|Whiteboard|Air Conditioning|Legal Research Station|Smart Board|Video Conferencing|Microphone System
LAW-MC-1,50,Law Building,Legal Research Station|Projector|Air Conditioning|Smart Board|Video Conferencing|Microphone System
LAW-MC-2,50,Law Building,Legal Research Station|Projector|Air Conditioning|Smart Board|Video Conferencing|Microphone System
LAW-LT,200,Law Building,Projector|Microphone System|Auditorium Seating|Air Conditioning|Legal Research Station|Smart Board|Video Conferencing
BIZ-101,75,Business School,Projector|Whiteboard|Air Conditioning|Smart Board|Video Conferencing|Microphone System
BIZ-102,75,Business School,Projector|Whiteboard|Air Conditioning|Smart Board|Video Conferencing|Microphone System
BIZ-103,65,Business School,Projector|Whiteboard|Air Conditioning|Smart Board|Video Conferencing|Microphone System
BIZ-104,65,Business School,Projector|Whiteboard|Air Conditioning|Smart Board|Video Conferencing|Microphone System
BIZ-105,60,Business School,Projector|Whiteboard|Air Conditioning|Smart Board|Video Conferencing|Microphone System
BIZ-106,60,Business School,Projector|Whiteboard|Air Conditioning|Smart Board|Video Conferencing|Microphone System
BIZ-CL-1,40,Business School,Computer Lab|Projector|Air Conditioning|Smart Board|Video Conferencing|Microphone System
BIZ-CL-2,40,Business School,Computer Lab|Projector|Air Conditioning|Smart Board|Video Conferencing|Microphone System
BIZ-LT-1,250,Business School,Projector|Microphone System|Auditorium Seating|Air Conditioning|Video Conferencing|Smart Board
BIZ-LT-2,180,Business School,Projector|Microphone System|Auditorium Seating|Air Conditioning|Smart Board|Video Conferencing
ARTS-101,55,Arts and Humanities,Projector|Whiteboard|Air Conditioning|Art Studio|Music Studio|Recording Studio|Language Lab|Microphone System
ARTS-102,55,Arts and Humanities,Projector|Whiteboard|Air Conditioning|Art Studio|Music Studio|Recording Studio|Language Lab|Microphone System
ARTS-103,50,Arts and Humanities,Projector|Whiteboard|Air Conditioning|Art Studio|Music Studio|Recording Studio|Language Lab|Microphone System
ARTS-104,50,Arts and Humanities,Projector|Whiteboard|Air Conditioning|Art Studio|Music Studio|Recording Studio|Language Lab|Microphone System
ARTS-105,45,Arts and Humanities,Projector|Whiteboard|Air Conditioning|Art Studio|Music Studio|Recording Studio|Language Lab|Microphone System
ARTS-STUDIO-1,30,Arts and Humanities,Art Studio|Air Conditioning|Music Studio|Recording Studio|Language Lab|Projector|Microphone System
ARTS-STUDIO-2,30,Arts and Humanities,Art Studio|Air Conditioning|Music Studio|Recording Studio|Language Lab|Projector|Microphone System
ARTS-MUSIC-1,25,Arts and Humanities,Music Studio|Recording Studio|Air Conditioning|Art Studio|Language Lab|Projector|Microphone System
ARTS-MUSIC-2,25,Arts and Humanities,Music Studio|Recording Studio|Air Conditioning|Art Studio|Language Lab|Projector|Microphone System
ARTS-LANG-1,35,Arts and Humanities,Language Lab|Projector|Air Conditioning|Art Studio|Music Studio|Recording Studio|Microphone System
ARTS-LANG-2,35,Arts and Humanities,Language Lab|Projector|Air Conditioning|Art Studio|Music Studio|Recording Studio|Microphone System
SOC-101,60,Social Sciences Wing,Projector|Whiteboard|Air Conditioning
SOC-102,60,Social Sciences Wing,Projector|Whiteboard|Air Conditioning
SOC-103,55,Social Sciences Wing,Projector|Whiteboard|Air Conditioning
SOC-104,55,Social Sciences Wing,Projector|Whiteboard|Air Conditioning
SOC-105,50,Social Sciences Wing,Projector|Whiteboard|Air Conditioning
SOC-106,50,Social Sciences Wing,Projector|Whiteboard|Air Conditioning
SOC-LT,150,Social Sciences Wing,Projector|Microphone System|Auditorium Seating|Air Conditioning|Whiteboard
EDU-101,65,Education Block,Projector|Whiteboard|Air Conditioning|Smart Board|Video Conferencing|Microphone System
EDU-102,65,Education Block,Projector|Whiteboard|Air Conditioning|Smart Board|Video Conferencing|Microphone System
EDU-103,60,Education Block,Projector|Whiteboard|Air Conditioning|Smart Board|Video Conferencing|Microphone System
EDU-104,60,Education Block,Projector|Whiteboard|Air Conditioning|Smart Board|Video Conferencing|Microphone System
EDU-105,55,Education Block,Projector|Whiteboard|Air Conditioning|Smart Board|Video Conferencing|Microphone System
EDU-106,55,Education Block,Projector|Whiteboard|Air Conditioning|Smart Board|Video Conferencing|Microphone System
EDU-MC-1,40,Education Block,Projector|Air Conditioning|Video Conferencing|Smart Board|Microphone System
EDU-MC-2,40,Education Block,Projector|Air Conditioning|Video Conferencing|Smart Board|Microphone System
EDU-LT,180,Education Block,Projector|Microphone System|Auditorium Seating|Air Conditioning|Smart Board|Video Conferencing
AGRIC-101,55,Agriculture Building,Projector|Whiteboard|Air Conditioning|Biology Lab|Wet Lab|Workshop Equipment
AGRIC-102,55,Agriculture Building,Projector|Whiteboard|Air Conditioning|Biology Lab|Wet Lab|Workshop Equipment
AGRIC-103,50,Agriculture Building,Projector|Whiteboard|Air Conditioning|Biology Lab|Wet Lab|Workshop Equipment
AGRIC-104,50,Agriculture Building,Projector|Whiteboard|Air Conditioning|Biology Lab|Wet Lab|Workshop Equipment
AGRIC-LAB-1,30,Agriculture Building,Biology Lab|Wet Lab|Air Conditioning|Workshop Equipment|Projector
AGRIC-LAB-2,30,Agriculture Building,Biology Lab|Wet Lab|Air Conditioning|Workshop Equipment|Projector
AGRIC-WS,40,Agriculture Building,Workshop Equipment|Air Conditioning|Biology Lab|Wet Lab|Projector
AGRIC-LT,150,Agriculture Building,Projector|Microphone System|Auditorium Seating|Air Conditioning|Biology Lab|Wet Lab|Workshop Equipment
ICT-101,50,ICT Center,Computer Lab|Projector|Air Conditioning|Server Room|Network Lab|Video Conferencing
ICT-102,50,ICT Center,Computer Lab|Projector|Air Conditioning|Server Room|Network Lab|Video Conferencing
ICT-103,45,ICT Center,Computer Lab|Projector|Air Conditioning|Server Room|Network Lab|Video Conferencing
ICT-104,45,ICT Center,Computer Lab|Projector|Air Conditioning|Server Room|Network Lab|Video Conferencing
ICT-NET-1,35,ICT Center,Computer Lab|Network Lab|Projector|Air Conditioning|Server Room|Video Conferencing
ICT-NET-2,35,ICT Center,Computer Lab|Network Lab|Projector|Air Conditioning|Server Room|Video Conferencing
ICT-SERVER,20,ICT Center,Server Room|Air Conditioning|Network Lab|Computer Lab|Projector|Video Conferencing
ICT-LT,120,ICT Center,Projector|Microphone System|Auditorium Seating|Air Conditioning|Server Room|Network Lab|Computer Lab|Video Conferencing
LIB-STUDY-1,80,Library Complex,Whiteboard|Air Conditioning
LIB-STUDY-2,80,Library Complex,Whiteboard|Air Conditioning
LIB-STUDY-3,60,Library Complex,Whiteboard|Air Conditioning
LIB-COMP,50,Library Complex,Computer Lab|Air Conditioning
LIB-SEMINAR,40,Library Complex,Projector|Whiteboard|Air Conditioning
SPORT-GYM,100,Sports Complex,Gym Equipment|Air Conditioning|Dance Floor|Microphone System
SPORT-DANCE,50,Sports Complex,Dance Floor|Microphone System|Air Conditioning|Gym Equipment
SPORT-HALL,200,Sports Complex,Microphone System|Air Conditioning|Gym Equipment|Dance Floor
SUB-CONF-A,100,Student Union Building,Projector|Microphone System|Air Conditioning
SUB-CONF-B,80,Student Union Building,Projector|Microphone System|Air Conditioning
SUB-MEET-1,30,Student Union Building,Projector|Whiteboard|Air Conditioning
SUB-MEET-2,30,Student Union Building,Projector|Whiteboard|Air Conditioning
