base_name,is_parent,level,group,size,parent_group_name
CENG,T,400,,80,
CENG,F,400,A,40,CENG 400 LEVEL
CENG,F,400,B,40,CENG 400 LEVEL
MED,T,100,,150,
MED,F,100,A,50,MED 100 LEVEL
MED,F,100,B,50,MED 100 LEVEL
MED,F,100,C,50,MED 100 LEVEL
MED,T,200,,140,
MED,F,200,A,47,MED 200 LEVEL
MED,F,200,B,47,MED 200 LEVEL
MED,F,200,C,46,MED 200 LEVEL
MED,T,300,,130,
MED,F,300,A,44,MED 300 LEVEL
MED,F,300,B,43,MED 300 LEVEL
MED,F,300,C,43,MED 300 LEVEL
MED,T,400,,120,
MED,F,400,A,40,MED 400 LEVEL
MED,F,400,B,40,MED 400 LEVEL
MED,F,400,C,40,MED 400 LEVEL
MED,T,500,,90,
MED,F,500,A,45,MED 500 LEVEL
MED,F,500,B,45,MED 500 LEVEL
MED,T,600,,70,
MED,F,600,A,35,MED 600 LEVEL
MED,F,600,B,35,MED 600 LEVEL
PHAR,T,100,,100,
PHAR,F,100,A,50,PHAR 100 LEVEL
PHAR,F,100,B,50,PHAR 100 LEVEL
PHAR,T,200,,90,
PHAR,F,200,A,45,PHAR 200 LEVEL
PHAR,F,200,B,45,PHAR 200 LEVEL
PHAR,T,300,,80,
PHAR,F,300,A,40,PHAR 300 LEVEL
PHAR,F,300,B,40,PHAR 300 LEVEL
PHAR,T,400,,80,
PHAR,F,400,A,40,PHAR 400 LEVEL
PHAR,F,400,B,40,PHAR 400 LEVEL
NURS,T,100,,120,
NURS,F,100,A,40,NURS 100 LEVEL
NURS,F,100,B,40,NURS 100 LEVEL
NURS,F,100,C,40,NURS 100 LEVEL
NURS,T,200,,110,
NURS,F,200,A,37,NURS 200 LEVEL
NURS,F,200,B,37,NURS 200 LEVEL
NURS,F,200,C,36,NURS 200 LEVEL
NURS,T,300,,90,
NURS,F,300,A,45,NURS 300 LEVEL
NURS,F,300,B,45,NURS 300 LEVEL
NURS,T,400,,80,
NURS,F,400,A,40,NURS 400 LEVEL
NURS,F,400,B,40,NURS 400 LEVEL
LAW,T,100,,150,
LAW,F,100,A,50,LAW 100 LEVEL
LAW,F,100,B,50,LAW 100 LEVEL
LAW,F,100,C,50,LAW 100 LEVEL
LAW,T,200,,130,
LAW,F,200,A,44,LAW 200 LEVEL
LAW,F,200,B,43,LAW 200 LEVEL
LAW,F,200,C,43,LAW 200 LEVEL
LAW,T,300,,110,
LAW,F,300,A,37,LAW 300 LEVEL
LAW,F,300,B,37,LAW 300 LEVEL
LAW,F,300,C,36,LAW 300 LEVEL
LAW,T,400,,110,
LAW,F,400,A,37,LAW 400 LEVEL
LAW,F,400,B,37,LAW 400 LEVEL
LAW,F,400,C,36,LAW 400 LEVEL
ACCT,T,100,,150,
ACCT,F,100,A,50,ACCT 100 LEVEL
ACCT,F,100,B,50,ACCT 100 LEVEL
ACCT,F,100,C,50,ACCT 100 LEVEL
ACCT,T,200,,130,
ACCT,F,200,A,44,ACCT 200 LEVEL
ACCT,F,200,B,43,ACCT 200 LEVEL
ACCT,F,200,C,43,ACCT 200 LEVEL
ACCT,T,300,,110,
ACCT,F,300,A,37,ACCT 300 LEVEL
ACCT,F,300,B,37,ACCT 300 LEVEL
ACCT,F,300,C,36,ACCT 300 LEVEL
ACCT,T,400,,90,
ACCT,F,400,A,45,ACCT 400 LEVEL
ACCT,F,400,B,45,ACCT 400 LEVEL
BADM,T,100,,170,
BADM,F,100,A,43,BADM 100 LEVEL
BADM,F,100,B,43,BADM 100 LEVEL
BADM,F,100,C,42,BADM 100 LEVEL
BADM,F,100,D,42,BADM 100 LEVEL
BADM,T,200,,150,
BADM,F,200,A,38,BADM 200 LEVEL
BADM,F,200,B,38,BADM 200 LEVEL
BADM,F,200,C,37,BADM 200 LEVEL
BADM,F,200,D,37,BADM 200 LEVEL
BADM,T,300,,120,
BADM,F,300,A,40,BADM 300 LEVEL
BADM,F,300,B,40,BADM 300 LEVEL
BADM,F,300,C,40,BADM 300 LEVEL
BADM,T,400,,110,
BADM,F,400,A,37,BADM 400 LEVEL
BADM,F,400,B,37,BADM 400 LEVEL
BADM,F,400,C,36,BADM 400 LEVEL
ECON,T,100,,130,
ECON,F,100,A,44,ECON 100 LEVEL
ECON,F,100,B,43,ECON 100 LEVEL
ECON,F,100,C,43,ECON 100 LEVEL
ECON,T,200,,120,
ECON,F,200,A,40,ECON 200 LEVEL
ECON,F,200,B,40,ECON 200 LEVEL
ECON,F,200,C,40,ECON 200 LEVEL
ECON,T,300,,95,
ECON,F,300,A,48,ECON 300 LEVEL
ECON,F,300,B,47,ECON 300 LEVEL
ECON,T,400,,75,
ECON,F,400,A,38,ECON 400 LEVEL
ECON,F,400,B,37,ECON 400 LEVEL
MCOM,T,100,,120,
MCOM,F,100,A,40,MCOM 100 LEVEL
MCOM,F,100,B,40,MCOM 100 LEVEL
MCOM,F,100,C,40,MCOM 100 LEVEL
MCOM,T,200,,100,
MCOM,F,200,A,34,MCOM 200 LEVEL
MCOM,F,200,B,33,MCOM 200 LEVEL
MCOM,F,200,C,33,MCOM 200 LEVEL
MCOM,T,300,,85,
MCOM,F,300,A,43,MCOM 300 LEVEL
MCOM,F,300,B,42,MCOM 300 LEVEL
MCOM,T,400,,75,
MCOM,F,400,A,38,MCOM 400 LEVEL
MCOM,F,400,B,37,MCOM 400 LEVEL
POLS,T,100,,110,
POLS,F,100,A,37,POLS 100 LEVEL
POLS,F,100,B,37,POLS 100 LEVEL
POLS,F,100,C,36,POLS 100 LEVEL
POLS,T,200,,95,
POLS,F,200,A,48,POLS 200 LEVEL
POLS,F,200,B,47,POLS 200 LEVEL
POLS,T,300,,80,
POLS,F,300,A,40,POLS 300 LEVEL
POLS,F,300,B,40,POLS 300 LEVEL
POLS,T,400,,65,
POLS,F,400,A,33,POLS 400 LEVEL
POLS,F,400,B,32,POLS 400 LEVEL
PSYC,T,100,,100,
PSYC,F,100,A,50,PSYC 100 LEVEL
PSYC,F,100,B,50,PSYC 100 LEVEL
PSYC,T,200,,90,
PSYC,F,200,A,45,PSYC 200 LEVEL
PSYC,F,200,B,45,PSYC 200 LEVEL
PSYC,T,300,,70,
PSYC,F,300,A,35,PSYC 300 LEVEL
PSYC,F,300,B,35,PSYC 300 LEVEL
PSYC,T,400,,60,
PSYC,F,400,A,30,PSYC 400 LEVEL
PSYC,F,400,B,30,PSYC 400 LEVEL
EDUC,T,100,,120,
EDUC,F,100,A,40,EDUC 100 LEVEL
EDUC,F,100,B,40,EDUC 100 LEVEL
EDUC,F,100,C,40,EDUC 100 LEVEL
EDUC,T,200,,110,
EDUC,F,200,A,37,EDUC 200 LEVEL
EDUC,F,200,B,37,EDUC 200 LEVEL
EDUC,F,200,C,36,EDUC 200 LEVEL
EDUC,T,300,,90,
EDUC,F,300,A,45,EDUC 300 LEVEL
EDUC,F,300,B,45,EDUC 300 LEVEL
EDUC,T,400,,80,
EDUC,F,400,A,40,EDUC 400 LEVEL
EDUC,F,400,B,40,EDUC 400 LEVEL
AGRI,T,100,,110,
AGRI,F,100,A,37,AGRI 100 LEVEL
AGRI,F,100,B,37,AGRI 100 LEVEL
AGRI,F,100,C,36,AGRI 100 LEVEL
AGRI,T,200,,95,
AGRI,F,200,A,48,AGRI 200 LEVEL
AGRI,F,200,B,47,AGRI 200 LEVEL
AGRI,T,300,,80,
AGRI,F,300,A,40,AGRI 300 LEVEL
AGRI,F,300,B,40,AGRI 300 LEVEL
AGRI,T,400,,65,
AGRI,F,400,A,33,AGRI 400 LEVEL
AGRI,F,400,B,32,AGRI 400 LEVEL
CHEM,T,100,,90,
CHEM,F,100,A,45,CHEM 100 LEVEL
CHEM,F,100,B,45,CHEM 100 LEVEL
CHEM,T,200,,80,
CHEM,F,200,A,40,CHEM 200 LEVEL
CHEM,F,200,B,40,CHEM 200 LEVEL
CHEM,T,300,,60,
CHEM,F,300,A,30,CHEM 300 LEVEL
CHEM,F,300,B,30,CHEM 300 LEVEL
CHEM,T,400,,50,
CHEM,F,400,A,25,CHEM 400 LEVEL
CHEM,F,400,B,25,CHEM 400 LEVEL
PHYS,T,100,,85,
PHYS,F,100,A,43,PHYS 100 LEVEL
PHYS,F,100,B,42,PHYS 100 LEVEL
PHYS,T,200,,75,
PHYS,F,200,A,38,PHYS 200 LEVEL
PHYS,F,200,B,37,PHYS 200 LEVEL
PHYS,T,300,,55,
PHYS,F,300,A,28,PHYS 300 LEVEL
PHYS,F,300,B,27,PHYS 300 LEVEL
PHYS,T,400,,45,
PHYS,F,400,A,23,PHYS 400 LEVEL
PHYS,F,400,B,22,PHYS 400 LEVEL
MATH,T,100,,80,
MATH,F,100,A,40,MATH 100 LEVEL
MATH,F,100,B,40,MATH 100 LEVEL
MATH,T,200,,70,
MATH,F,200,A,35,MATH 200 LEVEL
MATH,F,200,B,35,MATH 200 LEVEL
MATH,T,300,,55,
MATH,F,300,A,28,MATH 300 LEVEL
MATH,F,300,B,27,MATH 300 LEVEL
MATH,T,400,,45,
MATH,F,400,A,23,MATH 400 LEVEL
MATH,F,400,B,22,MATH 400 LEVEL
ENGL,T,100,,95,
ENGL,F,100,A,48,ENGL 100 LEVEL
ENGL,F,100,B,47,ENGL 100 LEVEL
ENGL,T,200,,85,
ENGL,F,200,A,43,ENGL 200 LEVEL
ENGL,F,200,B,42,ENGL 200 LEVEL
ENGL,T,300,,65,
ENGL,F,300,A,33,ENGL 300 LEVEL
ENGL,F,300,B,32,ENGL 300 LEVEL
ENGL,T,400,,55,
ENGL,F,400,A,28,ENGL 400 LEVEL
ENGL,F,400,B,27,ENGL 400 LEVEL
